"Title","Cost Center ","Brand","Serial","Register","RegisCard","DateBuy","Detail","Team","Link","Status","Modified By","NoSelect","FixType","DetailFix","Checked","LinkPic","LinkMail"
"30066839","48004","ปืนพกรีวอลเวอร์ ""สมิทแอนด์เวสสัน "" ลำกล้อง 4 นิ้ว","K721256","กท.494958","0309/2533","2/15/1990","ส่งคืนคลังพัสดุหมุนเวียน ทีมสินทรัพย์ถาวร ตามเมลอนุมัติ ผอ.ฝรภ. และ ผอ.ฝจอ.นบอ. ลงวันที่ 24 มิ.ย.67 (ปืน ทญศ.)","ฝจอ. (ฝากเก็บ ศอก.)","https://botdrm2-wb-p/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=8466617","สภาพไม่พร้อมใช้งาน","Watchara Tohkwankaew (วัชระ โต๊ะขวัญแก้ว)",,,"โม่ไม่หมุนบางจังหวะลั่นไก ,ไม่สามารถยิง single action ได้ ,โม่เปิดยาก","ตรวจแล้ว","https://botdrm2-wb-p/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=8540768",
"30078180","48004","ปืนลูกซองเดี่ยว ""Remington""  ลำกล้อง 20 นิ้ว","AB 063327 M","กท.4950837","ปค.2742/2549","6/16/2006","ทขส. นำอาวุธปืนมาฝากเก็บที่ ทญศ. วันที่ 12 ก.ค. 67","ศอก.","https://botdrm2-wb-p/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=8467571","สภาพพร้อมใช้งาน","Thanakrit Pitchayarittikrai (ธนกฤต พิชญฤทธิไกร)",,,,"ตรวจแล้ว","https://botdrm2-wb-p/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=8528143",
"30078181","48004","ปืนลูกซองเดี่ยว ""Remington""  ลำกล้อง 20 นิ้ว","AB 063205 M","กท.4950840","ปค.2743/2549","6/16/2006","ทขส. นำอาวุธปืนมาฝากเก็บที่ ทญศ. วันที่ 12 ก.ค. 67","ศอก.","https://botdrm2-wb-p/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=8467569","สภาพพร้อมใช้งาน","Thanakrit Pitchayarittikrai (ธนกฤต พิชญฤทธิไกร)",,,,"ตรวจแล้ว","https://botdrm2-wb-p/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=8528144",
"30066841","48004","ปืนพกรีวอลเวอร์ ""สมิทแอนด์เวสสัน "" ลำกล้อง 4 นิ้ว","K721772","กท.494960","0311/2533","2/15/1990","ทขส.ฝากเก็บ ตรวจปืนและเอกสารเรียบร้อย","ศอก.","https://botdrm2-wb-p/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=8466749","สภาพพร้อมใช้งาน","Thanakrit Pitchayarittikrai (ธนกฤต พิชญฤทธิไกร)",,,,"ตรวจแล้ว","https://botdrm2-wb-p/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=8541245",
"30066875","48004","ปืนพกรีวอลเวอร์ ""สมิทแอนด์เวสสัน "" ลำกล้อง 4 นิ้ว","ACW5923","กท.2701501","2085/2527","3/30/1984","ส่งคืนคลังพัสดุหมุนเวียน ทีมสินทรัพย์ถาวร ตามเมลอนุมัติ ผอ.ฝรภ. และ ผอ.ฝจอ.นบอ. ลงวันที่ 24 มิ.ย. 67(ปืน ทขส.)","ฝจอ. (ฝากเก็บ ศอก.)","https://botdrm2-wb-p/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=8466750","สภาพไม่พร้อมใช้งาน","Thanakrit Pitchayarittikrai (ธนกฤต พิชญฤทธิไกร)",,,"Pin Extractor หลุดหาย 1 ตัว","ตรวจแล้ว","https://botdrm2-wb-p/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=8541242",
"30066885","48004","ปืนพกรีวอลเวอร์ ""สมิทแอนด์เวสสัน "" ลำกล้อง 4 นิ้ว","AHU3191","กท.2805329","2094/2529","6/18/1986","ส่งคืนคลังพัสดุหมุนเวียน ทีมสินทรัพย์ถาวร ตามเมลอนุมัติ ผอ.ฝรภ. และ ผอ.ฝจอ.นบอ. ลงวันที่ 24 มิ.ย. 67(ปืน ทขส.)","ฝจอ. (ฝากเก็บ ศอก.)","https://botdrm2-wb-p/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=8466751","สภาพไม่พร้อมใช้งาน","Thanakrit Pitchayarittikrai (ธนกฤต พิชญฤทธิไกร)",,,"Pin Extractor หลุดหาย 1 ตัว","ตรวจแล้ว","https://botdrm2-wb-p/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=8541246",
"30066896","48004","ปืนพกรีวอลเวอร์ ""สมิทแอนด์เวสสัน "" ลำกล้อง 4 นิ้ว","AUZ3670","กท.3000900","3386/2530","9/22/1987","ส่งคืนคลังพัสดุหมุนเวียน ทีมสินทรัพย์ถาวร ตามเมลอนุมัติ ผอ.ฝรภ. และ ผอ.ฝจอ.นบอ. ลงวันที่ 24 มิ.ย. 67(ปืน ทขส.)","ฝจอ. (ฝากเก็บ ศอก.)","https://botdrm2-wb-p/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=8466753","สภาพไม่พร้อมใช้งาน","Thanakrit Pitchayarittikrai (ธนกฤต พิชญฤทธิไกร)",,,"Pin Extractor หลุดหาย 1 ตัว","ตรวจแล้ว","https://botdrm2-wb-p/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=8541243",
"30066898","48004","ปืนพกรีวอลเวอร์ ""สมิทแอนด์เวสสัน "" ลำกล้อง 4 นิ้ว","AUY7489","กท.3000903","3387/2530","9/22/1987","ส่งคืนคลังพัสดุหมุนเวียน ทีมสินทรัพย์ถาวร ตามเมลอนุมัติ ผอ.ฝรภ. และ ผอ.ฝจอ.นบอ. ลงวันที่ 24 มิ.ย. 67(ปืน ทขส.)","ฝจอ. (ฝากเก็บ ศอก.)","https://botdrm2-wb-p/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=8466752","สภาพไม่พร้อมใช้งาน","Thanakrit Pitchayarittikrai (ธนกฤต พิชญฤทธิไกร)",,,"Pin Extractor หลุดหาย 1 ตัว","ตรวจแล้ว","https://botdrm2-wb-p/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=8541244",
"30078169","48004","ปืนพก ""UZI"" แบบ กึ่งอัตโนมัติ ขนาด .9 มม. ลำกล้องยาว 4 นิ้ว","33303492 อูซี่","กท.4910749","ปค.2757/2549","6/19/2006","ตามบันทึกการโอนย้ายอาวุธ จำนวน 4 กระบอก จากทีมขนส่งฯให้ ทอศ.ซึ่ง ผอ.ฝรภ.ลงนาม อนุมัติเมื่อ 14 ธันวาคม 2565 - พายัพ บันทึกขอมูล","ทอศ.","https://botdrm2-wb-p/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=8467565","สภาพพร้อมใช้งาน","Thanakrit Pitchayarittikrai (ธนกฤต พิชญฤทธิไกร)",,,,"ตรวจแล้ว","https://botdrm2-wb-p/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=8528142","https://botdrm2-wb-p/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=9427684"
"30078170","48004","ปืนพก ""UZI"" แบบ กึ่งอัตโนมัติ ขนาด .9 มม. ลำกล้องยาว 4 นิ้ว","33303427 อูซี่","กท.4910740","ปค.2756/2549","6/19/2006","ตามบันทึกการโอนย้ายอาวุธ จำนวน 4 กระบอก จากทีมขนส่งฯให้ ทอศ.ซึ่ง ผอ.ฝรภ.ลงนาม อนุมัติเมื่อ 14 ธันวาคม 2565 - พายัพ บันทึกขอมูล","ทอศ.","https://botdrm2-wb-p/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=8467567","สภาพพร้อมใช้งาน","Thanakrit Pitchayarittikrai (ธนกฤต พิชญฤทธิไกร)",,,,"ตรวจแล้ว","https://botdrm2-wb-p/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=8528137","https://botdrm2-wb-p/BOTDRM_Portal/Fileplan/DownloadFile?documentUri=9427684"
